,Parcel ID,county,date,year,month,year-month,price,yr_blt,sf,price_sf,lat,long,GEOID,Sub_geo
15208,071E01107000,"211 WINDY CIR Henry County, GA",8/3/20,2020,8,2020-8,215000,1999,2397,89.69545265,33.4992308,-84.1920345,13151070315,McDonough
15210,052A01081000,"158 GLEN EAGLE WAY Henry County, GA",3/20/20,2020,3,2020-3,409000,1993,2885,141.7677643,33.4992313,-84.2121112,13151070315,McDonough
15215,051F01135000,"608 CHAMPIONS DR Henry County, GA",3/25/21,2021,3,2021-3,450000,2000,2809,160.1993592,33.4993381,-84.2069228,13151070315,McDonough
15216,071E01122000,"660 HIGHPOINT WAY Henry County, GA",4/29/20,2020,4,2020-4,197000,2001,1929,102.1254536,33.4993906,-84.1926523,13151070315,McDonough
15217,052A01088000,"227 HAWICK LN Henry County, GA",12/13/19,2019,12,2019-12,350000,1991,3310,105.7401813,33.4994634,-84.2133465,13151070315,McDonough
15218,052A01088000,"227 HAWICK LN Henry County, GA",4/30/21,2021,4,2021-4,475000,1991,3310,143.5045317,33.4994634,-84.2133465,13151070315,McDonough
15220,052A01012000,"163 GLEN EAGLE WAY Henry County, GA",7/1/22,2022,7,2022-7,590000,1997,2613,225.7941064,33.4995456,-84.21137,13151070315,McDonough
15221,052A01012000,"163 GLEN EAGLE WAY Henry County, GA",8/26/21,2021,8,2021-8,420000,1997,2613,160.7347876,33.4995456,-84.21137,13151070315,McDonough
15223,052A01097000,"209 HAWICK LN Henry County, GA",8/20/19,2019,8,2019-8,350000,1989,2708,129.2466765,33.4996367,-84.2147258,13151070315,McDonough
15225,052A01068000,"120 ROYAL BURGESS WAY Henry County, GA",10/11/19,2019,10,2019-10,325000,1990,2622,123.9511823,33.4996732,-84.2155081,13151070315,McDonough
15226,051F01052000,"605 CHAMPIONS DR Henry County, GA",11/5/21,2021,11,2021-11,590000,1995,3100,190.3225806,33.4996764,-84.2080964,13151070315,McDonough
15227,051F01052000,"605 CHAMPIONS DR Henry County, GA",3/20/18,2018,3,2018-3,320000,1995,3100,103.2258065,33.4996764,-84.2080964,13151070315,McDonough
15229,052A01087000,"106 BLACKHEATH WAY Henry County, GA",11/21/22,2022,11,2022-11,439000,1991,2441,179.8443261,33.4997363,-84.21312,13151070315,McDonough
15231,071E01002000,"294 WINDY CIR Henry County, GA",2/5/21,2021,2,2021-2,260000,1999,2597,100.1155179,33.4997583,-84.1949177,13151070315,McDonough
15233,071E01003000,"264 WINDY CIR Henry County, GA",7/31/19,2019,7,2019-7,201500,1999,2140,94.1588785,33.4997885,-84.1946294,13151070315,McDonough
15237,051F01210000,"707 BETHPAGE DR Henry County, GA",7/26/19,2019,7,2019-7,600000,2004,2942,203.942896,33.499841,-84.2046167,13151070315,McDonough
15239,051F01209000,"705 BETHPAGE DR Henry County, GA",3/7/19,2019,3,2019-3,575000,2004,4366,131.6994961,33.4998641,-84.2051108,13151070315,McDonough
15240,051F01206000,"722 BETHPAGE DR Henry County, GA",10/27/21,2021,10,2021-10,1009900,2007,3797,265.9731367,33.4998962,-84.2020634,13151070315,McDonough
15241,051F01207000,"701 BETHPAGE DR Henry County, GA",6/22/18,2018,6,2018-6,400000,2004,3004,133.1557923,33.4999632,-84.2058315,13151070315,McDonough
